ENSEMBLE	Chrom	Start	End	Strand	Type	SYMBOL
ENSMUSG00000078607.6	chr11	107025681	107030443	+	protein_coding	1810010H24Rik
ENSMUSG00000115466.1	chr4	3184348	3185358	-	protein_coding	Vmn1r3
ENSMUSG00000032773.9	chr19	8663789	8683587	+	protein_coding	Chrm1
ENSMUSG00000056863.5	chr7	106823489	106833893	-	protein_coding	Olfr702
ENSMUSG00000051098.6	chr13	81711341	81753275	+	protein_coding	Mblac2
ENSMUSG00000112425.1	chr10	66809840	66822354	+	lincRNA	Gm47896
ENSMUSG00000104544.4	chr3	140904998	140908467	-	lincRNA	Gm32754
ENSMUSG00000032849.14	chr14	118482692	118706219	-	protein_coding	Abcc4
ENSMUSG00000104441.1	chr1	40572188	40580662	-	antisense	Gm35801
ENSMUSG00000097092.2	chr5	66151212	66174945	+	antisense	Gm26725
ENSMUSG00000096908.3	chr14	53443249	53443839	+	TR_V_gene	Trav7-3
ENSMUSG00000043463.6	chrX	136858147	136868755	-	protein_coding	Rab9b
ENSMUSG00000079773.2	GL456350.1	173252	174286	-	protein_coding	AC087559.2
ENSMUSG00000114649.1	chr13	78171630	78182973	+	lincRNA	3110006O06Rik
ENSMUSG00000047658.6	chr19	5298331	5308738	+	protein_coding	Gal3st3
ENSMUSG00000019699.16	chr1	177020073	177258203	-	protein_coding	Akt3
ENSMUSG00000020267.6	chr11	54866383	54870501	+	protein_coding	Hint1
ENSMUSG00000115284.1	chr15	51880373	51897041	-	antisense	Gm34678
ENSMUSG00000039830.9	chr16	91225457	91228677	+	protein_coding	Olig2
ENSMUSG00000020652.17	chr12	4196004	4234294	-	protein_coding	Cenpo
ENSMUSG00000042133.16	chr2	69722545	69754012	+	protein_coding	Ppig
ENSMUSG00000051243.14	chr9	58196297	58204319	-	protein_coding	Islr2
ENSMUSG00000041147.10	chr5	150522630	150570329	+	protein_coding	Brca2
ENSMUSG00000079037.9	chr2	131909928	131938429	+	protein_coding	Prnp
ENSMUSG00000110162.1	chr8	57699774	57727344	+	lincRNA	Gm45356
ENSMUSG00000116167.1	chr15	69270533	69274720	+	lincRNA	4930504C09Rik
ENSMUSG00000116038.1	chr16	10797943	10812726	+	antisense	Gm46563
ENSMUSG00000040907.15	chr7	24978167	25005958	-	protein_coding	Atp1a3
ENSMUSG00000058396.7	chr10	127747276	127751732	-	protein_coding	Gpr182
ENSMUSG00000100782.1	chr9	88259895	88263035	+	lincRNA	Gm28231
ENSMUSG00000109371.1	chr8	8727111	8853647	+	lincRNA	Gm44626
ENSMUSG00000004341.8	chr13	21312125	21319624	+	protein_coding	Gpx6
ENSMUSG00000111915.1	chr10	77861975	77862882	+	protein_coding	Gm3285
ENSMUSG00000031682.5	chr8	79210431	79248570	-	protein_coding	1700011L22Rik
ENSMUSG00000095193.2	chr17	94864918	94878321	+	lincRNA	Gm20939
ENSMUSG00000113210.1	chr12	99161277	99162808	-	lincRNA	4930474N09Rik
ENSMUSG00000029625.16	chr5	145167213	145182041	+	protein_coding	Cpsf4
ENSMUSG00000060256.1	chr3	93796398	93797510	+	protein_coding	Tdpoz4
ENSMUSG00000029469.14	chr5	122550204	122614518	-	protein_coding	Ift81
ENSMUSG00000038327.8	chr13	33324077	33335370	+	protein_coding	Serpinb9f
ENSMUSG00000026047.13	chr1	44106546	44118808	-	protein_coding	Poglut2
ENSMUSG00000051037.15	chr13	67194506	67209298	+	protein_coding	Zfp455
ENSMUSG00000042109.8	chr15	81936759	81950941	+	protein_coding	Csdc2
ENSMUSG00000028417.3	chr4	53779705	53788712	+	protein_coding	Tal2
ENSMUSG00000084262.5	chr7	103140879	103147864	+	protein_coding	Olfr588-ps1
ENSMUSG00000026028.12	chr1	58900449	58973430	-	protein_coding	Trak2
ENSMUSG00000044788.10	chr11	115279622	115297663	-	protein_coding	Fads6
ENSMUSG00000018287.12	chr11	70663771	70669416	-	protein_coding	Spag7
ENSMUSG00000058244.4	chr7	108610787	108615340	+	protein_coding	Olfr506
ENSMUSG00000032757.6	chr6	4076899	4086972	-	protein_coding	Bet1
ENSMUSG00000038708.10	chr9	118506267	118582519	+	protein_coding	Golga4
ENSMUSG00000020914.17	chr11	98992943	99024189	-	protein_coding	Top2a
ENSMUSG00000024725.13	chr19	18516137	18631823	-	protein_coding	Ostf1
ENSMUSG00000085903.1	chr16	95900398	95901728	+	lincRNA	Gm15340
ENSMUSG00000021416.11	chr13	34946614	34963810	-	protein_coding	Eci3
ENSMUSG00000038256.15	chr3	97203662	97297917	-	protein_coding	Bcl9
ENSMUSG00000098758.1	chr9	34042369	34059019	+	lincRNA	7630403G23Rik
ENSMUSG00000100402.1	chr17	11082250	11089468	-	antisense	Gm28505
ENSMUSG00000087196.1	chr2	28315016	28324050	-	lincRNA	Gm13373
ENSMUSG00000039109.16	chr13	36867178	37050244	-	protein_coding	F13a1
ENSMUSG00000023952.13	chr17	46161032	46169370	+	protein_coding	Gtpbp2
ENSMUSG00000101775.6	chrY	30642087	30645319	-	lincRNA	Gm28088
ENSMUSG00000114490.1	chr13	59901233	59915822	-	lincRNA	Gm19866
ENSMUSG00000024771.7	chr19	34008290	34047835	+	protein_coding	Lipk
ENSMUSG00000028294.15	chr4	34688559	34730206	-	protein_coding	Cfap206
ENSMUSG00000020496.10	chr11	58932288	58938916	-	protein_coding	Rnf187
ENSMUSG00000112112.1	chr12	45094012	45162048	+	lincRNA	Gm48508
ENSMUSG00000022677.15	chr16	14299244	14317405	-	protein_coding	Fopnl
ENSMUSG00000100711.1	chr1	98173648	98190698	+	lincRNA	Gm29461
ENSMUSG00000017453.4	chr11	77880615	77894096	-	protein_coding	Pipox
ENSMUSG00000103615.5	chrY	24786618	24789853	-	lincRNA	Gm30045
ENSMUSG00000113298.1	chr12	64980630	64982936	-	antisense	Gm48559
ENSMUSG00000062844.6	chr19	13101593	13106775	-	protein_coding	Olfr1458
ENSMUSG00000031179.14	chrX	64173548	64178778	+	protein_coding	3830417A13Rik
ENSMUSG00000028194.15	chr3	145758675	145894277	+	protein_coding	Ddah1
ENSMUSG00000033952.14	chr1	139454772	139494091	+	protein_coding	Aspm
ENSMUSG00000100958.1	chrY	4903523	4904050	-	lincRNA	Gm29351
ENSMUSG00000076671.5	chr12	114357759	114358218	-	IG_V_gene	Ighv13-2
ENSMUSG00000105646.1	chr6	70719074	70740554	+	lincRNA	Gm30211
ENSMUSG00000041961.14	chr11	5276324	5444847	-	protein_coding	Znrf3
ENSMUSG00000073016.3	chrX	104482818	104507490	+	protein_coding	Uprt
ENSMUSG00000060613.10	chr19	40153353	40187333	-	protein_coding	Cyp2c70
ENSMUSG00000025089.15	chr19	58235604	58455909	-	protein_coding	Gfra1
ENSMUSG00000021431.15	chr13	38204938	38227665	+	protein_coding	Snrnp48
ENSMUSG00000060743.12	chr1	180800832	180813943	-	protein_coding	H3f3a
ENSMUSG00000029238.11	chr5	76209868	76304792	-	protein_coding	Clock
ENSMUSG00000050296.14	chr1	71242276	71414910	-	protein_coding	Abca12
ENSMUSG00000024534.15	chr18	52767709	52915935	+	protein_coding	Sncaip
ENSMUSG00000025511.15	chr7	141475240	141493427	+	protein_coding	Tspan4
ENSMUSG00000108660.1	chr6	83568039	83588123	+	antisense	Gm21284
ENSMUSG00000111849.1	chr9	44419938	44423391	-	lincRNA	Gm47186
ENSMUSG00000075205.5	chr2	86084671	86087385	-	protein_coding	Olfr1037
ENSMUSG00000026154.4	chr1	23995939	24005656	-	protein_coding	Sdhaf4
ENSMUSG00000058368.3	chr16	89403218	89403868	-	protein_coding	Krtap21-1
ENSMUSG00000081650.1	chr17	35220834	35224134	+	protein_coding	Gm16181
ENSMUSG00000037224.15	chr5	34194893	34288449	-	protein_coding	Zfyve28
ENSMUSG00000051747.15	chr2	76703980	76982547	-	protein_coding	Ttn
ENSMUSG00000005312.15	chr13	58176156	58215653	-	protein_coding	Ubqln1
ENSMUSG00000085156.8	chr11	6525591	6528779	-	lincRNA	Snhg15
ENSMUSG00000100850.1	chr1	90153628	90159462	+	lincRNA	4930434B07Rik
ENSMUSG00000086534.2	chr17	29890084	29897067	+	antisense	Gm16758
ENSMUSG00000115664.1	chr14	86396382	86409099	-	lincRNA	Gm32913
ENSMUSG00000089712.2	chr8	94377872	94380317	+	lincRNA	Gm15889
ENSMUSG00000099787.3	chr13	22183997	22191141	-	protein_coding	Vmn1r192
ENSMUSG00000086366.1	chr11	23152140	23166375	+	lincRNA	1700061J23Rik
ENSMUSG00000098702.1	chr18	61726390	61735917	+	antisense	1500015A07Rik
ENSMUSG00000081948.4	chr2	88640542	88648438	+	protein_coding	Olfr1191-ps1
ENSMUSG00000028541.14	chr4	117869260	117883487	-	protein_coding	B4galt2
ENSMUSG00000053877.12	chr7	127511983	127561219	+	protein_coding	Srcap
ENSMUSG00000108814.1	chr7	125416994	125418114	-	lincRNA	Gm30717
ENSMUSG00000101812.1	chr1	73398968	73430790	+	lincRNA	D530049I02Rik
ENSMUSG00000105255.1	chr5	45434389	45450138	+	antisense	Gm42413
ENSMUSG00000100778.1	chrY	53729612	53731157	+	lincRNA	Gm28908
ENSMUSG00000021811.7	chr14	20384638	20388910	-	protein_coding	Dnajc9
ENSMUSG00000080933.4	chrX	37623318	37628612	-	protein_coding	Rhox3g
ENSMUSG00000079588.3	chr1	40805601	40856887	+	protein_coding	Tmem182
ENSMUSG00000033420.12	chr6	87133853	87335821	-	protein_coding	Antxr1
ENSMUSG00000099431.1	chrY	28715706	28717247	-	lincRNA	Gm28985
ENSMUSG00000027488.12	chr2	154376313	154408099	-	protein_coding	Snta1
ENSMUSG00000085022.2	chr4	82065431	82102808	+	lincRNA	Gm5860
ENSMUSG00000108364.1	chr7	41012039	41032619	-	lincRNA	Gm38997
ENSMUSG00000025158.7	chr11	120780746	120784207	-	protein_coding	Rfng
ENSMUSG00000089871.1	chr5	15680710	15714596	+	antisense	Speer4cos
ENSMUSG00000041632.7	chr13	99344786	99415562	+	protein_coding	Mrps27
ENSMUSG00000099963.6	chrY	35761786	35765015	-	lincRNA	Gm28463
ENSMUSG00000026355.11	chr1	128331590	128359664	-	protein_coding	Mcm6
ENSMUSG00000035235.13	chr14	61598247	61605946	+	protein_coding	Trim13
ENSMUSG00000020841.5	chr11	76778424	76847018	-	protein_coding	Cpd
ENSMUSG00000086733.1	chr11	109616320	109641789	+	lincRNA	Gm11685
ENSMUSG00000111990.1	chr10	102415883	102418014	+	lincRNA	Gm47033
ENSMUSG00000039741.15	chr11	120232947	120292296	+	protein_coding	Bahcc1
ENSMUSG00000023977.15	chr17	46928295	47010556	-	protein_coding	Ubr2
ENSMUSG00000053093.16	chr14	54970684	54994626	-	protein_coding	Myh7
ENSMUSG00000100616.1	chr7	37137011	37140382	-	lincRNA	Gm28076
ENSMUSG00000101426.1	chrY	59734683	59735210	-	lincRNA	Gm20978
ENSMUSG00000027719.15	chr3	37063527	37121930	+	protein_coding	Adad1
ENSMUSG00000028469.15	chr4	43631935	43651244	+	protein_coding	Npr2
ENSMUSG00000025269.16	chrX	150519519	150589868	-	protein_coding	Apex2
ENSMUSG00000017679.16	chr2	163602314	163619013	+	protein_coding	Ttpal
ENSMUSG00000078698.3	chr7	47588950	47601372	-	protein_coding	Mrgpra3
ENSMUSG00000109700.1	chr7	110690163	110699734	-	lincRNA	Gm21123
ENSMUSG00000094404.1	chrY	76378662	76379744	+	protein_coding	Gm21776
ENSMUSG00000048747.14	chr4	97568133	97778078	-	protein_coding	E130114P18Rik
ENSMUSG00000054716.4	chr7	127244274	127254803	+	protein_coding	Zfp771
ENSMUSG00000038451.13	chr6	124808661	124810619	+	protein_coding	Spsb2
ENSMUSG00000050558.13	chr2	132337733	132385447	-	protein_coding	Prokr2
ENSMUSG00000002741.9	chr11	5955693	5967780	+	protein_coding	Ykt6
ENSMUSG00000057564.6	chr14	52458829	52467495	-	protein_coding	Olfr1508
ENSMUSG00000008450.8	chr8	105860580	105879330	+	protein_coding	Nutf2
ENSMUSG00000085229.1	chr11	106126336	106127351	-	antisense	Gm11672
ENSMUSG00000084788.2	chr13	24335937	24414803	-	antisense	Gm11342
ENSMUSG00000035651.7	chrX	78369643	78371128	+	protein_coding	4930480E11Rik
ENSMUSG00000097686.1	chr5	37038164	37041646	-	antisense	Gm26647
ENSMUSG00000073572.2	chr18	44201264	44206018	+	protein_coding	Gm10542
ENSMUSG00000095956.2	chr9	60743120	60770276	+	lincRNA	1700036A12Rik
ENSMUSG00000106791.1	chr6	86004380	86009355	+	lincRNA	4930553P18Rik
ENSMUSG00000099517.2	chr13	23535422	23535951	+	protein_coding	H3c8
ENSMUSG00000109084.1	chr8	10943326	10947890	-	lincRNA	Gm44955
ENSMUSG00000105168.1	chr3	53725477	53733018	+	lincRNA	Gm30735
ENSMUSG00000067873.11	chrX	57053583	57067183	+	protein_coding	Htatsf1
ENSMUSG00000104789.1	chr5	11577108	11593779	-	lincRNA	Gm43640
ENSMUSG00000054156.8	chr9	49250531	49280594	+	protein_coding	Gm4894
ENSMUSG00000101298.1	chr6	52163359	52213339	-	protein_coding	Gm28308
ENSMUSG00000027479.14	chr2	153741274	153773310	+	protein_coding	Mapre1
ENSMUSG00000049932.3	chr9	44334694	44336077	+	protein_coding	H2ax
ENSMUSG00000048572.5	chr19	24674008	24682233	+	protein_coding	Tmem252
ENSMUSG00000055681.14	chr8	70302518	70312993	+	protein_coding	Cope
ENSMUSG00000025141.3	chr11	120646031	120648158	-	protein_coding	Myadml2
ENSMUSG00000035642.16	chr7	97550331	97579497	-	protein_coding	Aamdc
ENSMUSG00000033268.8	chr2	122315672	122347972	+	protein_coding	Duox1
ENSMUSG00000072473.4	chr14	32376068	32388391	-	protein_coding	1700024G13Rik
ENSMUSG00000113846.1	chr1	82930571	82931399	-	protein_coding	Gm6217
ENSMUSG00000100783.1	chr5	149231332	149237984	+	lincRNA	2310047D07Rik
ENSMUSG00000017307.16	chr2	164792765	164804882	-	protein_coding	Acot8
ENSMUSG00000071510.3	chr16	58759544	58763176	-	protein_coding	Olfr172
ENSMUSG00000063800.5	chr4	108563172	108579336	-	protein_coding	Prpf38a
ENSMUSG00000038415.10	chr13	31556134	31560976	+	protein_coding	Foxq1
ENSMUSG00000020740.13	chr11	115584255	115604051	-	protein_coding	Gga3
ENSMUSG00000091874.2	chr7	5194916	5196747	-	protein_coding	Vmn1r56
ENSMUSG00000101355.1	chr13	21717659	21718069	+	protein_coding	H3c10
ENSMUSG00000059325.14	chr5	77086988	77115121	-	protein_coding	Hopx
ENSMUSG00000079705.4	chrX	8413305	8422157	+	protein_coding	Ssxb1
ENSMUSG00000031075.19	chr7	144588549	144751974	-	protein_coding	Ano1
ENSMUSG00000022021.14	chr14	86655367	87141235	-	protein_coding	Diaph3
ENSMUSG00000107709.1	chr6	43467979	43474318	+	antisense	9430018G01Rik
ENSMUSG00000066060.5	chr4	119054790	119069111	-	lincRNA	Gm12866
ENSMUSG00000085591.1	chr2	45357265	45404035	+	lincRNA	Gm13479
ENSMUSG00000024846.6	chr19	5344705	5349574	-	protein_coding	Cst6
ENSMUSG00000032056.10	chr9	51060901	51119875	+	protein_coding	Btg4
ENSMUSG00000036775.13	chr17	26081208	26090337	-	protein_coding	Decr2
ENSMUSG00000039701.11	chr3	122931493	122984510	-	protein_coding	Usp53
ENSMUSG00000071280.2	chr10	59616063	59617416	+	antisense	Gm10322
ENSMUSG00000040310.12	chr2	93642384	93681339	+	protein_coding	Alx4
ENSMUSG00000098894.1	chr9	76319577	76320846	+	antisense	Gm27234
ENSMUSG00000020461.10	chr11	29547950	29578367	+	protein_coding	Clhc1
ENSMUSG00000061780.6	chr10	79890853	79892655	+	protein_coding	Cfd
ENSMUSG00000111925.1	chr12	10177143	10224794	+	lincRNA	Gm48791
ENSMUSG00000047036.8	chr9	122844529	122866006	-	protein_coding	Zfp445
ENSMUSG00000089982.7	chr1	16253592	16267921	+	antisense	Gm7568
ENSMUSG00000020234.10	chr10	81363067	81365816	-	protein_coding	4930404N11Rik
ENSMUSG00000105640.1	chr5	88793896	88813470	+	lincRNA	Gm42912
ENSMUSG00000094777.2	chr13	21833026	21833507	-	protein_coding	Hist1h2ap
ENSMUSG00000023092.16	chrX	56731787	56793346	+	protein_coding	Fhl1
ENSMUSG00000085157.1	chrX	46267559	46328911	-	antisense	4930515L19Rik
ENSMUSG00000055204.15	chr5	90227166	90366577	-	protein_coding	Ankrd17
ENSMUSG00000028133.17	chr3	121155398	121171695	-	protein_coding	Rwdd3
ENSMUSG00000038545.13	chr17	46650337	46664364	+	protein_coding	Cul7
ENSMUSG00000110554.1	chr8	71026792	71126576	+	lincRNA	Gm35256
ENSMUSG00000001802.16	chr7	35200027	35215498	-	protein_coding	Lrp3
ENSMUSG00000004535.12	chr6	52713729	52766780	+	protein_coding	Tax1bp1
ENSMUSG00000110180.1	chr8	29228598	29235104	-	lincRNA	Gm32567
ENSMUSG00000047712.8	chr10	8204756	8518825	-	protein_coding	Ust
ENSMUSG00000086727.8	chr1	30997842	31222684	-	protein_coding	4931428L18Rik
ENSMUSG00000010492.10	chr2	181578480	181585170	+	antisense	Uckl1os
ENSMUSG00000099640.1	chr3	129067805	129070544	-	lincRNA	Gm28543
ENSMUSG00000112481.1	chr10	95120582	95145825	-	lincRNA	Gm29684
ENSMUSG00000031502.11	chr8	11198423	11312826	-	protein_coding	Col4a1
ENSMUSG00000027317.8	chr2	119218119	119229906	-	protein_coding	Ppp1r14d
ENSMUSG00000028356.4	chr4	63143275	63154799	-	protein_coding	Ambp
ENSMUSG00000062510.12	chr1	191063012	191086474	+	protein_coding	Nsl1
ENSMUSG00000095034.2	chrX	123246416	123246913	-	lincRNA	Gm17577
ENSMUSG00000053624.4	chr18	52693690	52695550	+	protein_coding	Gykl1
ENSMUSG00000032594.11	chr9	108002501	108048782	+	protein_coding	Ip6k1
ENSMUSG00000114071.1	chr13	63730149	63734599	+	lincRNA	Gm47390
ENSMUSG00000076555.3	chr6	69544359	69544907	-	IG_V_gene	Igkv4-57-1
ENSMUSG00000041995.8	chr13	95323612	95337841	+	protein_coding	Zbed3
ENSMUSG00000078706.4	chr11	96251105	96264868	+	lincRNA	Gm53
ENSMUSG00000085723.2	chr10	93674218	93683322	-	antisense	Gm15915
ENSMUSG00000071340.2	chr10	34037597	34109815	+	protein_coding	Trappc3l
ENSMUSG00000046908.5	chr14	55765962	55768494	+	protein_coding	Ltb4r1
ENSMUSG00000029363.14	chr5	117378103	117389047	-	protein_coding	Rfc5
ENSMUSG00000033021.16	chr1	75435930	75443179	+	protein_coding	Gmppa
ENSMUSG00000073896.5	chr7	107138327	107150581	+	protein_coding	Olfr716
ENSMUSG00000064370.1	chrM	14145	15288	+	protein_coding	mt-Cytb
ENSMUSG00000101084.1	chr19	28088856	28089764	+	lincRNA	Gm28228
ENSMUSG00000102440.1	chr18	37736936	37841870	+	protein_coding	Pcdhga9
ENSMUSG00000110923.1	chr9	79159621	79202007	-	lincRNA	Gm47499
ENSMUSG00000052142.15	chr17	32390659	32403583	-	protein_coding	Rasal3
ENSMUSG00000095445.1	chrX	11324659	11324976	+	protein_coding	H2al1i
ENSMUSG00000074059.3	chr9	109676734	109702700	-	protein_coding	Fbxw18
ENSMUSG00000040729.8	chr9	8076461	8134294	-	protein_coding	Cep126
ENSMUSG00000041841.8	chr15	5116645	5119140	+	protein_coding	Rpl37
ENSMUSG00000003644.17	chr4	133847290	133887797	-	protein_coding	Rps6ka1
ENSMUSG00000112032.1	chr10	70869997	70872420	-	lincRNA	Gm48036
ENSMUSG00000046750.17	chr7	28284652	28291186	-	protein_coding	Selenov
ENSMUSG00000092233.1	chr12	54986158	54986529	-	protein_coding	Gm20403
ENSMUSG00000032324.11	chr9	56131725	56165477	-	protein_coding	Tspan3
ENSMUSG00000006270.7	chr19	59166187	59170056	-	protein_coding	Vax1
ENSMUSG00000115518.1	chr16	84972214	84979451	+	antisense	Gm10791
ENSMUSG00000087377.1	chr2	132253357	132261333	+	antisense	AV099323
ENSMUSG00000101728.6	chrY	32817021	32819299	-	lincRNA	Gm28765
ENSMUSG00000027132.3	chr2	112379211	112414240	+	protein_coding	Katnbl1
ENSMUSG00000056091.12	chr6	72097592	72154571	+	protein_coding	St3gal5
ENSMUSG00000032601.13	chr9	108689314	108750436	+	protein_coding	Prkar2a
ENSMUSG00000103362.1	chr3	93651542	93652686	-	protein_coding	Tdpoz2
ENSMUSG00000101080.1	chrY	68898829	68901325	-	lincRNA	Gm28633
ENSMUSG00000096016.7	chrY	68268651	68294898	-	protein_coding	Gm20937
ENSMUSG00000031661.12	chr8	88521354	88594884	+	protein_coding	Nkd1
ENSMUSG00000066441.14	chr12	79174337	79192293	-	protein_coding	Rdh11
ENSMUSG00000022337.7	chr15	43477229	43527763	+	protein_coding	Emc2
ENSMUSG00000069582.3	chr10	77826115	77827095	-	protein_coding	Krtap10-4
ENSMUSG00000085733.1	chr11	103363213	103364651	+	antisense	Arhgap27os1
ENSMUSG00000114473.1	chr13	61247878	61288839	-	protein_coding	Gm49398
ENSMUSG00000026869.12	chr2	34849734	34874968	-	protein_coding	Psmd5
ENSMUSG00000109076.1	chr6	82896867	82905214	-	lincRNA	Gm45145
ENSMUSG00000114437.1	chr13	59054896	59084093	-	antisense	4930415C11Rik
ENSMUSG00000078688.11	chr4	60135932	60154289	-	protein_coding	Mup2
ENSMUSG00000114536.1	chr13	112356925	112367845	-	antisense	Gm48837
ENSMUSG00000023122.6	chr17	53829637	53846339	-	protein_coding	Sult1c2
ENSMUSG00000055333.14	chr11	55250609	55336564	-	protein_coding	Fat2
ENSMUSG00000038156.16	chr7	113765998	114043370	+	protein_coding	Spon1
ENSMUSG00000057592.1	chr6	90035933	90036841	-	protein_coding	Vmn1r48
ENSMUSG00000061577.12	chr8	94923694	94943280	+	protein_coding	Adgrg5
ENSMUSG00000097080.8	chr18	38238405	38250565	-	lincRNA	1700086O06Rik
ENSMUSG00000116125.1	chr15	80012331	80042457	+	antisense	Gm41361
ENSMUSG00000040852.6	chr17	84511895	84622138	+	protein_coding	Plekhh2
ENSMUSG00000001349.5	chr9	22099216	22109630	+	protein_coding	Cnn1
ENSMUSG00000046450.3	chr4	43704562	43710255	-	protein_coding	Olfr71
ENSMUSG00000086701.1	chr2	65509265	65512605	+	antisense	Gm13595
ENSMUSG00000026304.13	chr1	90958133	90969661	-	protein_coding	Rab17
ENSMUSG00000115215.1	chr14	47790968	47805349	-	lincRNA	Gm41148
ENSMUSG00000031816.15	chr8	121091628	121108392	-	protein_coding	Mthfsd
ENSMUSG00000024410.15	chr18	12168717	12190658	+	protein_coding	Rmc1
ENSMUSG00000053318.7	chr1	172581758	172590568	-	protein_coding	Slamf8
ENSMUSG00000107969.1	chr6	146992367	146994024	-	antisense	Gm44085
ENSMUSG00000106745.1	chr5	118928123	118935962	+	lincRNA	Gm43342
ENSMUSG00000095625.2	chr17	39036695	39040227	+	protein_coding	Esp24
ENSMUSG00000110687.1	chr8	93398905	93403908	+	lincRNA	Gm45764
ENSMUSG00000040855.15	chrX	162411954	162643649	-	protein_coding	Reps2
ENSMUSG00000109741.1	chr8	50201613	50517680	-	lincRNA	Gm45455
ENSMUSG00000024921.17	chr19	26605050	26778322	+	protein_coding	Smarca2
ENSMUSG00000085230.1	chr11	71429828	71436180	-	lincRNA	Gm16013
ENSMUSG00000087378.1	chr4	84126350	84130289	-	lincRNA	Gm12414
ENSMUSG00000047330.8	chr1	78816758	78820028	+	protein_coding	Kcne4
ENSMUSG00000001173.15	chrX	47912387	47965868	+	protein_coding	Ocrl
ENSMUSG00000095213.2	chr4	144451220	144453641	-	lincRNA	Gm9944
ENSMUSG00000030433.15	chr7	4940512	4964406	-	protein_coding	Sbk2
ENSMUSG00000074955.3	chr2	111867657	111877149	-	protein_coding	Olfr1305
ENSMUSG00000020469.8	chr11	5896637	5898782	-	protein_coding	Myl7
ENSMUSG00000110470.1	chr8	119378696	119386537	+	lincRNA	Gm45723
ENSMUSG00000055818.2	chr6	124916863	124925844	+	antisense	A230083G16Rik
ENSMUSG00000027954.9	chr3	89271733	89281142	-	protein_coding	Efna1
ENSMUSG00000026761.12	chr2	48902824	48950277	-	protein_coding	Orc4
ENSMUSG00000112797.1	chr10	26493098	26498747	+	lincRNA	Gm30034
ENSMUSG00000101820.1	chrY	36884897	36888946	-	lincRNA	Gm29023
ENSMUSG00000118646.1	chr10	78288034	78307619	-	protein_coding	AC160405.1
ENSMUSG00000041536.13	chr12	104112724	104121896	+	protein_coding	Serpina3a
ENSMUSG00000110321.1	chr8	36174140	36176047	-	lincRNA	Gm39164
ENSMUSG00000072568.4	chr15	60818994	60853778	-	protein_coding	Lratd2
ENSMUSG00000041609.16	chr5	115648175	115731621	-	protein_coding	Bicdl1
ENSMUSG00000053963.7	chr1	180432387	180483504	-	protein_coding	Stum
ENSMUSG00000026395.16	chr1	138062861	138175708	-	protein_coding	Ptprc
ENSMUSG00000094212.3	chr14	53763173	53763694	+	TR_V_gene	Trav14-3
ENSMUSG00000044768.16	chr1	97606318	97662074	-	protein_coding	D1Ertd622e
ENSMUSG00000029477.14	chr5	123035769	123047016	-	protein_coding	Morn3
ENSMUSG00000020864.13	chr11	94328001	94341841	+	protein_coding	Ankrd40
ENSMUSG00000079025.9	chr15	63775968	63808759	-	protein_coding	Gsdmc
ENSMUSG00000078506.1	chr4	144555000	144565134	-	protein_coding	Aadacl4fm2
ENSMUSG00000100076.1	chrY	58404476	58405003	+	lincRNA	Gm20963
ENSMUSG00000091494.8	chr14	4838106	4846867	+	protein_coding	Gm3269
ENSMUSG00000025464.15	chr7	140115799	140137224	+	protein_coding	Paox
